OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
142,142,123,3,2067,7905,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Urban Deciduous Forest,Developed
143,143,246,1,2088,9725,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,South-Central Interior Large Floodplain Herbaceous,Riparian
144,144,57,1,2071,7321,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,1004,0,836,456,South-Central Interior Mesophytic Forest,Hardwood
145,145,7,1,2084,7296,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Developed-Low Intensity,Developed-Low Intensity
146,146,505,3,2067,7974,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Row Crop,Agricultural
147,147,32,3,2067,7296,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Developed-Low Intensity,Developed-Low Intensity
148,148,74,3,2072,7925,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Developed Deciduous Forest,Developed
149,149,432,3,2072,9817,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Ruderal Meadow,Exotic Herbaceous
150,150,388,3,2084,7321,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,South-Central Interior Mesophytic Forest,Hardwood
151,151,336,3,2067,7299,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Developed-Roads,Developed-Roads
152,152,169,3,2088,7305,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
153,153,136,3,2072,7296,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Developed-Low Intensity,Developed-Low Intensity
